exporter_name_address,certificate_number,consignee_name_address,transport_details,official_use,item_number,package_marks,package_description,origin_criteria,gross_weight,invoice_number_date,hs_code,certificate_place_date,certificate_signature,exporter_declaration_place_date,exporter_signature,importing_country
M/s ABC Exports, Ahmedabad, Gujarat,India,GCCI/001/2025,M/s XYZ Imports, London, UK,By Sea, Checked,01,Packing No. 1-5,Cotton shirts,100% Indian Cotton,Rule 1,500 KG,INV001/01-07-2025,6105.10,Ahmedabad, 01 July 2025,Mr. Suresh Patel,Ahmedabad, 01 July 2025,Ms. Anita Rao,United Kingdom
M/s DEF Global, Surat, Gujarat,India,GCCI/002/2025,M/s LMN Corp, Berlin, Germany,By Air, Verified,02,Box No. A1-A3,Synthetic Sarees,Made in India,Rule 2,300 KG,INV002/01-07-2025,6204.44,Surat, 01 July 2025,Mr. Arvind Jain,Surat, 01 July 2025,Mr. Karan Shah,Germany
M/s Textile House, Rajkot, Gujarat,India,GCCI/003/2025,M/s Opal Traders, Dubai, UAE,By Road, N/A,03,Label X123,Terry towels,Origin India,Rule 1,250 KG,INV003/01-07-2025,6302.60,Rajkot, 01 July 2025,Mr. Manoj Joshi,Rajkot, 01 July 2025,Mr. Deepak Mehta,UAE
M/s Sunrise Garments, Vadodara, Gujarat,India,GCCI/004/2025,M/s BrightLine, Sydney, Australia,By Air, Verified,04,Case Z44,Denim jeans,Indian Cotton,Rule 2,700 KG,INV004/01-07-2025,6203.42,Vadodara, 01 July 2025,Ms. Neha Desai,Vadodara, 01 July 2025,Mr. Umesh Patel,Australia
M/s Kutch Handicrafts, Bhuj, Gujarat,India,GCCI/005/2025,M/s Cultural House, Rome, Italy,By Sea, Checked,05,Mark 007,Handmade embroidery cloths,Handcrafted in India,Rule 1,180 KG,INV005/01-07-2025,5805.00,Bhuj, 01 July 2025,Ms. Rupal Joshi,Bhuj, 01 July 2025,Mr. Anand Gandhi,Italy
M/s Herbal World, Jamnagar, Gujarat,India,GCCI/006/2025,M/s Wellness Ltd, Tokyo, Japan,By Air, N/A,06,Pallets 1-3,Ayurvedic products,Made in India,Rule 3,90 KG,INV006/01-07-2025,3003.90,Jamnagar, 01 July 2025,Dr. Meena Vora,Jamnagar, 01 July 2025,Dr. Ramesh Bhat,Japan
M/s Agro Foods, Mehsana, Gujarat,India,GCCI/007/2025,M/s NatureMart, Paris, France,By Sea, Checked,07,Lot 202,Frozen vegetables,Grown in Gujarat,Rule 1,1200 KG,INV007/01-07-2025,0710.80,Mehsana, 01 July 2025,Mr. S. Thakkar,Mehsana, 01 July 2025,Ms. K. Joshi,France
M/s Ceramic Creations, Morbi, Gujarat,India,GCCI/008/2025,M/s BuildPro, Muscat, Oman,By Road, Verified,08,Crate M44,Wall tiles,Ceramic - India,Rule 1,1500 KG,INV008/01-07-2025,6907.90,Morbi, 01 July 2025,Mr. Harsh Vyas,Morbi, 01 July 2025,Mr. Raju Patel,Oman
M/s PharmaHeal, Ahmedabad, Gujarat,India,GCCI/009/2025,M/s Medico Ltd, Johannesburg, South Africa,By Air, Checked,09,Box Z9,Pharmaceutical tablets,Made in WHO-GMP unit,Rule 2,200 KG,INV009/01-07-2025,3004.90,Ahmedabad, 01 July 2025,Dr. Nikhil Shah,Ahmedabad, 01 July 2025,Dr. Seema Trivedi,South Africa
M/s Handloom Arts, Patan, Gujarat,India,GCCI/010/2025,M/s WeaveWorld, New York, USA,By Sea, Verified,10,Bundle 88,Handwoven Patola sarees,Authentic Patan craft,Rule 1,350 KG,INV010/01-07-2025,5007.90,Patan, 01 July 2025,Ms. Hetal Dave,Patan, 01 July 2025,Mr. Jay Mehta,USA
M/s ABC Exports, Ahmedabad, Gujarat,India,GCCI/001/2025,M/s XYZ Imports, London, UK,By Sea, Checked,01,Packing No. 1-5,Cotton shirts,100% Indian Cotton,Rule 1,500 KG,INV001/01-07-2025,6105.10,Ahmedabad, 01 July 2025,Mr. Suresh Patel,Ahmedabad, 01 July 2025,Ms. Anita Rao,United Kingdom
M/s DEF Global, Surat, Gujarat,India,GCCI/002/2025,M/s LMN Corp, Berlin, Germany,By Air, Verified,02,Box No. A1-A3,Synthetic Sarees,Made in India,Rule 2,300 KG,INV002/01-07-2025,6204.44,Surat, 01 July 2025,Mr. Arvind Jain,Surat, 01 July 2025,Mr. Karan Shah,Germany
M/s Textile House, Rajkot, Gujarat,India,GCCI/003/2025,M/s Opal Traders, Dubai, UAE,By Road, N/A,03,Label X123,Terry towels,Origin India,Rule 1,250 KG,INV003/01-07-2025,6302.60,Rajkot, 01 July 2025,Mr. Manoj Joshi,Rajkot, 01 July 2025,Mr. Deepak Mehta,UAE
M/s Sunrise Garments, Vadodara, Gujarat,India,GCCI/004/2025,M/s BrightLine, Sydney, Australia,By Air, Verified,04,Case Z44,Denim jeans,Indian Cotton,Rule 2,700 KG,INV004/01-07-2025,6203.42,Vadodara, 01 July 2025,Ms. Neha Desai,Vadodara, 01 July 2025,Mr. Umesh Patel,Australia
M/s Kutch Handicrafts, Bhuj, Gujarat,India,GCCI/005/2025,M/s Cultural House, Rome, Italy,By Sea, Checked,05,Mark 007,Handmade embroidery cloths,Handcrafted in India,Rule 1,180 KG,INV005/01-07-2025,5805.00,Bhuj, 01 July 2025,Ms. Rupal Joshi,Bhuj, 01 July 2025,Mr. Anand Gandhi,Italy
M/s Herbal World, Jamnagar, Gujarat,India,GCCI/006/2025,M/s Wellness Ltd, Tokyo, Japan,By Air, N/A,06,Pallets 1-3,Ayurvedic products,Made in India,Rule 3,90 KG,INV006/01-07-2025,3003.90,Jamnagar, 01 July 2025,Dr. Meena Vora,Jamnagar, 01 July 2025,Dr. Ramesh Bhat,Japan
M/s Agro Foods, Mehsana, Gujarat,India,GCCI/007/2025,M/s NatureMart, Paris, France,By Sea, Checked,07,Lot 202,Frozen vegetables,Grown in Gujarat,Rule 1,1200 KG,INV007/01-07-2025,0710.80,Mehsana, 01 July 2025,Mr. S. Thakkar,Mehsana, 01 July 2025,Ms. K. Joshi,France
M/s Ceramic Creations, Morbi, Gujarat,India,GCCI/008/2025,M/s BuildPro, Muscat, Oman,By Road, Verified,08,Crate M44,Wall tiles,Ceramic - India,Rule 1,1500 KG,INV008/01-07-2025,6907.90,Morbi, 01 July 2025,Mr. Harsh Vyas,Morbi, 01 July 2025,Mr. Raju Patel,Oman
M/s PharmaHeal, Ahmedabad, Gujarat,India,GCCI/009/2025,M/s Medico Ltd, Johannesburg, South Africa,By Air, Checked,09,Box Z9,Pharmaceutical tablets,Made in WHO-GMP unit,Rule 2,200 KG,INV009/01-07-2025,3004.90,Ahmedabad, 01 July 2025,Dr. Nikhil Shah,Ahmedabad, 01 July 2025,Dr. Seema Trivedi,South Africa
M/s Handloom Arts, Patan, Gujarat,India,GCCI/010/2025,M/s WeaveWorld, New York, USA,By Sea, Verified,10,Bundle 88,Handwoven Patola sarees,Authentic Patan craft,Rule 1,350 KG,INV010/01-07-2025,5007.90,Patan, 01 July 2025,Ms. Hetal Dave,Patan, 01 July 2025,Mr. Jay Mehta,USA
M/s ABC Exports, Ahmedabad, Gujarat,India,GCCI/001/2025,M/s XYZ Imports, London, UK,By Sea, Checked,01,Packing No. 1-5,Cotton shirts,100% Indian Cotton,Rule 1,500 KG,INV001/01-07-2025,6105.10,Ahmedabad, 01 July 2025,Mr. Suresh Patel,Ahmedabad, 01 July 2025,Ms. Anita Rao,United Kingdom
M/s DEF Global, Surat, Gujarat,India,GCCI/002/2025,M/s LMN Corp, Berlin, Germany,By Air, Verified,02,Box No. A1-A3,Synthetic Sarees,Made in India,Rule 2,300 KG,INV002/01-07-2025,6204.44,Surat, 01 July 2025,Mr. Arvind Jain,Surat, 01 July 2025,Mr. Karan Shah,Germany
M/s Textile House, Rajkot, Gujarat,India,GCCI/003/2025,M/s Opal Traders, Dubai, UAE,By Road, N/A,03,Label X123,Terry towels,Origin India,Rule 1,250 KG,INV003/01-07-2025,6302.60,Rajkot, 01 July 2025,Mr. Manoj Joshi,Rajkot, 01 July 2025,Mr. Deepak Mehta,UAE
M/s Sunrise Garments, Vadodara, Gujarat,India,GCCI/004/2025,M/s BrightLine, Sydney, Australia,By Air, Verified,04,Case Z44,Denim jeans,Indian Cotton,Rule 2,700 KG,INV004/01-07-2025,6203.42,Vadodara, 01 July 2025,Ms. Neha Desai,Vadodara, 01 July 2025,Mr. Umesh Patel,Australia
M/s Kutch Handicrafts, Bhuj, Gujarat,India,GCCI/005/2025,M/s Cultural House, Rome, Italy,By Sea, Checked,05,Mark 007,Handmade embroidery cloths,Handcrafted in India,Rule 1,180 KG,INV005/01-07-2025,5805.00,Bhuj, 01 July 2025,Ms. Rupal Joshi,Bhuj, 01 July 2025,Mr. Anand Gandhi,Italy
M/s Herbal World, Jamnagar, Gujarat,India,GCCI/006/2025,M/s Wellness Ltd, Tokyo, Japan,By Air, N/A,06,Pallets 1-3,Ayurvedic products,Made in India,Rule 3,90 KG,INV006/01-07-2025,3003.90,Jamnagar, 01 July 2025,Dr. Meena Vora,Jamnagar, 01 July 2025,Dr. Ramesh Bhat,Japan
M/s Agro Foods, Mehsana, Gujarat,India,GCCI/007/2025,M/s NatureMart, Paris, France,By Sea, Checked,07,Lot 202,Frozen vegetables,Grown in Gujarat,Rule 1,1200 KG,INV007/01-07-2025,0710.80,Mehsana, 01 July 2025,Mr. S. Thakkar,Mehsana, 01 July 2025,Ms. K. Joshi,France
M/s Ceramic Creations, Morbi, Gujarat,India,GCCI/008/2025,M/s BuildPro, Muscat, Oman,By Road, Verified,08,Crate M44,Wall tiles,Ceramic - India,Rule 1,1500 KG,INV008/01-07-2025,6907.90,Morbi, 01 July 2025,Mr. Harsh Vyas,Morbi, 01 July 2025,Mr. Raju Patel,Oman
M/s PharmaHeal, Ahmedabad, Gujarat,India,GCCI/009/2025,M/s Medico Ltd, Johannesburg, South Africa,By Air, Checked,09,Box Z9,Pharmaceutical tablets,Made in WHO-GMP unit,Rule 2,200 KG,INV009/01-07-2025,3004.90,Ahmedabad, 01 July 2025,Dr. Nikhil Shah,Ahmedabad, 01 July 2025,Dr. Seema Trivedi,South Africa
M/s Handloom Arts, Patan, Gujarat,India,GCCI/010/2025,M/s WeaveWorld, New York, USA,By Sea, Verified,10,Bundle 88,Handwoven Patola sarees,Authentic Patan craft,Rule 1,350 KG,INV010/01-07-2025,5007.90,Patan, 01 July 2025,Ms. Hetal Dave,Patan, 01 July 2025,Mr. Jay Mehta,USA
M/s ABC Exports, Ahmedabad, Gujarat,India,GCCI/001/2025,M/s XYZ Imports, London, UK,By Sea, Checked,01,Packing No. 1-5,Cotton shirts,100% Indian Cotton,Rule 1,500 KG,INV001/01-07-2025,6105.10,Ahmedabad, 01 July 2025,Mr. Suresh Patel,Ahmedabad, 01 July 2025,Ms. Anita Rao,United Kingdom
M/s DEF Global, Surat, Gujarat,India,GCCI/002/2025,M/s LMN Corp, Berlin, Germany,By Air, Verified,02,Box No. A1-A3,Synthetic Sarees,Made in India,Rule 2,300 KG,INV002/01-07-2025,6204.44,Surat, 01 July 2025,Mr. Arvind Jain,Surat, 01 July 2025,Mr. Karan Shah,Germany
M/s Textile House, Rajkot, Gujarat,India,GCCI/003/2025,M/s Opal Traders, Dubai, UAE,By Road, N/A,03,Label X123,Terry towels,Origin India,Rule 1,250 KG,INV003/01-07-2025,6302.60,Rajkot, 01 July 2025,Mr. Manoj Joshi,Rajkot, 01 July 2025,Mr. Deepak Mehta,UAE
M/s Sunrise Garments, Vadodara, Gujarat,India,GCCI/004/2025,M/s BrightLine, Sydney, Australia,By Air, Verified,04,Case Z44,Denim jeans,Indian Cotton,Rule 2,700 KG,INV004/01-07-2025,6203.42,Vadodara, 01 July 2025,Ms. Neha Desai,Vadodara, 01 July 2025,Mr. Umesh Patel,Australia
M/s Kutch Handicrafts, Bhuj, Gujarat,India,GCCI/005/2025,M/s Cultural House, Rome, Italy,By Sea, Checked,05,Mark 007,Handmade embroidery cloths,Handcrafted in India,Rule 1,180 KG,INV005/01-07-2025,5805.00,Bhuj, 01 July 2025,Ms. Rupal Joshi,Bhuj, 01 July 2025,Mr. Anand Gandhi,Italy
M/s Herbal World, Jamnagar, Gujarat,India,GCCI/006/2025,M/s Wellness Ltd, Tokyo, Japan,By Air, N/A,06,Pallets 1-3,Ayurvedic products,Made in India,Rule 3,90 KG,INV006/01-07-2025,3003.90,Jamnagar, 01 July 2025,Dr. Meena Vora,Jamnagar, 01 July 2025,Dr. Ramesh Bhat,Japan
M/s Agro Foods, Mehsana, Gujarat,India,GCCI/007/2025,M/s NatureMart, Paris, France,By Sea, Checked,07,Lot 202,Frozen vegetables,Grown in Gujarat,Rule 1,1200 KG,INV007/01-07-2025,0710.80,Mehsana, 01 July 2025,Mr. S. Thakkar,Mehsana, 01 July 2025,Ms. K. Joshi,France
M/s Ceramic Creations, Morbi, Gujarat,India,GCCI/008/2025,M/s BuildPro, Muscat, Oman,By Road, Verified,08,Crate M44,Wall tiles,Ceramic - India,Rule 1,1500 KG,INV008/01-07-2025,6907.90,Morbi, 01 July 2025,Mr. Harsh Vyas,Morbi, 01 July 2025,Mr. Raju Patel,Oman
M/s PharmaHeal, Ahmedabad, Gujarat,India,GCCI/009/2025,M/s Medico Ltd, Johannesburg, South Africa,By Air, Checked,09,Box Z9,Pharmaceutical tablets,Made in WHO-GMP unit,Rule 2,200 KG,INV009/01-07-2025,3004.90,Ahmedabad, 01 July 2025,Dr. Nikhil Shah,Ahmedabad, 01 July 2025,Dr. Seema Trivedi,South Africa
M/s Handloom Arts, Patan, Gujarat,India,GCCI/010/2025,M/s WeaveWorld, New York, USA,By Sea, Verified,10,Bundle 88,Handwoven Patola sarees,Authentic Patan craft,Rule 1,350 KG,INV010/01-07-2025,5007.90,Patan, 01 July 2025,Ms. Hetal Dave,Patan, 01 July 2025,Mr. Jay Mehta,USA
